City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Camacha,PT,69.22,Clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
365,Bauchi,NG,80.08,Clouds,10.5,10.0,
366,Ukiah,US,88.05,Clear,39.1502,-123.2078,Hampton Inn Ukiah
367,Samarai,PG,80.08,Clouds,-10.6167,150.6667,Nuli Sapi
370,Moncao,PT,78.51,Clear,42.0789,-8.4808,Hotel Bienestar Termas de Monção
371,Anloga,GH,79.74,Rain,5.7947,0.8973,Pin Drop Hotel
372,Avera,US,81.91,Clouds,33.194,-82.5271,
373,Santa Rosa,PH,81.1,Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
375,Ambilobe,MG,72.3,Clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
376,Jalalpur Pirwala,PK,80.87,Clear,29.5069,71.2192,Bhatti Easy Paisa Shop
